序号,文件类型,分数,评语
Ch1-1B-1,latex,11.4,"进阶B
1.26 3少了! (-3)
1.29(2) 答案有误，5^4是带顺序的(-2)
1.32 答案有误(-8)
1.33 不需要乘n! (-2)
1.36(3) 答案有误(-4)
进阶题(+8)
过程清晰(+1)
解法质量(+4)"
Ch1-1B-2,md,14,"B
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1B-4,md,11.8,"进阶B
1.30 负数(-3)
1.31 (-10)
1.35 角块棱块反了(-6) 如果考虑面的朝向，应该*24而不是/24，因为旋转会导致面块移动，这是不能通过棱块/角块排列达成的 (-1)
1.36(3) “统计结果”的定义需要与前两问一致 (-4)
- (8pts) 进阶题
- (4pts) 过程清晰
- (4pts) 解法质量"
Ch1-1B-5,md,14,"B
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1B-6,latex,14,"进阶B
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1B-7,md,13.3,"进阶B
1.30 负数(-3)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1B-11,latex,13.2,"B
1.30 负数(-3)
1.33 答案typo(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1B-13,latex,14,"B
1.31 变换很漂亮"
Ch1-1B-14,latex,14,进阶B
Ch1-1B-15,md,14.4,"B
进阶题(+8)
过程清晰(+4)
解法质量(+4) 多重解法(+2)
点评(+4)
竟然还有作答时长(+2)"
Ch1-1B-16,latex,13.6,"B
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
