序号,文件类型,分数,评语
Ch1-1A-1,md,13.4,"A
1.13(2) 化简(-1)
1.17 k=1 (-1)
1.19 要固定2n+1个 (-4)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-3,md,13.9,"A
1.17 k=1 (-1)
1.23 其实题目的定义已经给出了存在性
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-4,md,12.7,"A
1.13(2) 化简 (-1)
1.14(2) 后面两个21是怎么来的？(-4)
1.16(4) 边数不对(-2)
1.21(2) /12^100 (-2)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1A-5,md,14.1,"A
1.13(2) 化简(-1)
1.16(2) 感谢建议(+4)
1.21(2) 有两种合法方案(-2)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-6,md,12.9,"进阶A
1.16(3) 2个点在圆上：不能直接选两个，否则会共线(-1)
1.17 k=1 (-1)
1.21(2) 有两种方案(-2)
1.24 少了2种情况，9种方案(-7)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-8,latex,13.8,"进阶A
1.13可化简
1.17 k=1 (-1)
1.21 是12不是13 (-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)
"
Ch1-1A-9,latex,12.4,"A
1.15 考虑顺序(-6)
1.17 k=1时答案为0 (-1)
1.20 字符有数量限制(-5)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1A-10,md,12,"A
1.13(2) 化简(-1)
1.17 k=1 (-1)
1.19 排除数量有误(-6)
1.20 (-10)
1.21 需要对每对脚分别*2 (-2)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-11,latex,13,"A
1.15 箱子和物体均不同(-6)
1.17 k=1 (-1)
1.21(1) “所有”在“所有”之前(-3)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-13,md,13.3,"A
1.13(2) 化简(-1)
1.21 化简(-1)
1.23 “首位不同的位更大的数一定更大(因为是从较小的数递增得到的)”不合理，虽然说明了任意此进制下的数都可以转成正整数，但没证明此进制下的数一定可以通过某个正整数通过构造得到（即构造满射）(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1A-14,md,13.5,"A
1.13(2) 化简(-1)
1.21(2) 有两种顺序(-2)
1.23 最好严谨地证明一下它们互为逆映射(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+3)"
Ch1-1A-15,latex,12.5,"进阶A
1.13(2) 可简化(-1)
1.15 空箱子挑了两次，而且没有考虑间隔问题(-7)
1.17 k=1 (-1)
1.19 答案少了1 (-6)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-16,md,13.2,"A
1.13(2) 化简(-1)
1.23 单射不能说明唯一性，需要满射；另外，单射其实是显然的，只要说明F^{-1}(F(x))=x (-7)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-17,md,10.3,"进阶A
1.14 是20^20 (-5)
1.15未找到(-10)
1.16(3) 2个点在圆上：不能任取2点，否则会共线(-1)
1个点在圆上：某些弦可能与n*n/2条弦相交，而且任取的两个交点未必在同一条线段上(-1)
0个点在圆上：考虑3条弦中间的三个交点显然形成一个三角形(-1)
1.16(4) 看到n^4系数为负的时候就知道答案有问题了，主要是“每条弦被分为n-1段”不对(-2)
1.17 k=1 (-1) 旋转对称情况只有k种(-2)
1.21(2) 穿每一对脚中的左脚袜子、鞋子**分别**在右脚袜子、鞋子之前(-2)
1.23 w_{i+1}>w_{i}无法说明w_k>\sum w_{i} (-2)
1.24 有的共面点不在面上(-7)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1A-18,latex,13.8,"A
1.13(2) 化简(-1)
1.17 k=1 (-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-20,md,13.5,"A
1.23 等式其中一边应该有负号(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)"
Ch1-1A-21,md,13.9,"进阶A
1.17 k=1 (-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-22,md,13.8,"进阶A
1.13(2) 化简(-1)
1.17 k=1 (-1)
1.20 注意分母打括号
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
Ch1-1A-24,latex,12.9,"A
1.13(2) 答案不对(-3)
1.16(4) 答案不对，我没看懂过程，圆内n边形的存在性需要证明，还有其他的多边形呢？(-2)
1.17 k=1 (-1)
1.18 需要化简，和式一般不能作为答案(-3)
1.21 难度5？
1.21(2) 答案抄错了(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+3)"
Ch1-1A-25,md,13.7,"A
1.13(2) 化简(-1)
1.17 k=1 (-1)
1.21(1) 2多余(-1)
进阶题(+8)
过程清晰(+4)
解法质量(+4)
点评(+4)"
